(species=Paecilomyces niveus)(type=Full)(curator=GO)
g4136 = 3676
g4136 = 3676
g4136 = 3676
g4136 = 3676
g4136 = 3676
g4136 = 3676
g4136 = 3676
g4136 = 3676
g6306 = 19905
g6306 = 19905
g4416 = 3735
g4416 = 5840
g4416 = 6412
g4416 = 3735
g4416 = 5840
g4416 = 6412
g4416 = 6412
g3341 = 51537
g3341 = 51537
g3341 = 51537
g3341 = 5506
g3341 = 44237
g3341 = 51537
g3341 = 5506
g3341 = 44237
g3341 = 51537
g3341 = 44237
g3341 = 51537
g3341 = 44237
g3341 = 51537
g3341 = 44237
g3341 = 51537
g3341 = 44237
g3341 = 51537
g731 = 5975
g731 = 16758
g731 = 30259
g8981 = 7017
g8981 = 30286
g8981 = 7017
g8981 = 30286
g8981 = 7017
g8981 = 30286
g8981 = 7017
g8981 = 30286
g4299 = 123
g4299 = 5634
g4299 = 16573
g4299 = 123
g4299 = 5634
g4299 = 16573
g4299 = 5515
g4299 = 5515
g2641 = 16491
g1643 = 4553
g1643 = 5975
g1643 = 4553
g1643 = 5975
g1643 = 4553
g1643 = 5975
g1643 = 4553
g1643 = 5975
g1643 = 4553
g1643 = 5975
g1643 = 4553
g1643 = 5975
g1643 = 4553
g1643 = 5975
g1643 = 4553
g1643 = 5975
g2914 = 3677
g2914 = 6281
g2914 = 33699
g9922 = 8236
g9922 = 4252
g9922 = 6508
g9922 = 8236
g9922 = 6508
g1255 = 4553
g1255 = 5975
g1255 = 4553
g1255 = 5975
g1255 = 4553
g1255 = 5975
g1255 = 4553
g1255 = 5975
g1255 = 4553
g1255 = 5975
g1255 = 4553
g1255 = 5975
g1255 = 4553
g1255 = 5975
g1255 = 4553
g1255 = 5975
g972 = 5515
g972 = 5515
g972 = 5515
g2475 = 30488
g2475 = 31515
g2475 = 30488
g2475 = 31515
g5400 = 16491
g5905 = 4451
g5905 = 19752
g5905 = 4451
g5905 = 19752
g5905 = 3824
g5905 = 4451
g5905 = 19752
g9874 = 16491
g9874 = 16491
g9874 = 16491
g9874 = 16491
g9874 = 16491
g9874 = 16491
g9874 = 16491
g9874 = 16491
g9874 = 16491
g8110 = 5507
g8110 = 5507
g8110 = 16491
g8526 = 5975
g8526 = 5975
g8526 = 6098
g8526 = 17057
g4253 = 4817
g4253 = 5524
g4253 = 6423
g4253 = 166
g4253 = 4812
g4253 = 5524
g4253 = 6418
g3222 = 22857
g3222 = 22857
g3222 = 55085
g4325 = 981
g4325 = 6355
g4325 = 8270
g4325 = 981
g4325 = 6355
g4325 = 8270
g4325 = 981
g4325 = 6355
g4325 = 8270
g4325 = 981
g4325 = 6355
g4325 = 8270
g5710 = 981
g5710 = 6355
g5710 = 8270
g5710 = 981
g5710 = 6355
g5710 = 8270
g5710 = 981
g5710 = 6355
g5710 = 8270
g5710 = 981
g5710 = 6355
g5710 = 8270
g5271 = 3676
g5271 = 3676
g5271 = 3676
g5271 = 3676
g3629 = 959
g3629 = 5739
g3629 = 959
g3629 = 5739
g10256 = 4518
g10256 = 4518
g10256 = 4518
g10256 = 4518
g10256 = 3677
g10256 = 3824
g654 = 71949
g2497 = 5096
g2497 = 7021
g2497 = 7023
g2497 = 48487
g4995 = 3723
g4995 = 43631
g4995 = 4652
g4995 = 43631
g4995 = 3723
g4995 = 16779
g4995 = 31123
g4995 = 16779
g7058 = 981
g7058 = 6355
g7058 = 8270
g7058 = 981
g7058 = 6355
g7058 = 8270
g7058 = 981
g7058 = 6355
g7058 = 8270
g7058 = 3677
g7058 = 6351
g7058 = 8270
g7058 = 3677
g7058 = 6351
g7058 = 8270
g7058 = 981
g7058 = 6355
g7058 = 8270
g6803 = 16021
g6803 = 16757
g838 = 5885
g838 = 15629
g838 = 30041
g838 = 34314
g838 = 5885
g838 = 15629
g838 = 30041
g838 = 34314
g838 = 5885
g838 = 15629
g838 = 30041
g838 = 30833
g838 = 34314
g5441 = 3824
g2652 = 16491
g1179 = 981
g1179 = 6355
g1179 = 8270
g1179 = 981
g1179 = 6355
g1179 = 8270
g1179 = 981
g1179 = 6355
g1179 = 8270
g1179 = 981
g1179 = 6355
g1179 = 8270
g8538 = 6482
g8538 = 51723
g8279 = 19781
g8279 = 45116
g8279 = 8641
g8279 = 19781
g8279 = 45116
g8279 = 19781
g8279 = 45116
g5789.1 = 16021
g5789.1 = 16021
g5306 = 15986
g5306 = 46933
g5306 = 15986
g5306 = 46933
g5306 = 15986
g5306 = 46933
g5306 = 15986
g5306 = 46933
g5306 = 15986
g5306 = 46933
g5306 = 15986
g5306 = 46933
g5306 = 15986
g5306 = 46933
g5306 = 15986
g5306 = 46933
g3553 = 5506
g3553 = 16705
g3553 = 20037
g3553 = 5506
g3553 = 16705
g3553 = 20037
g8968 = 51287
g8968 = 4617
g8968 = 6564
g8968 = 16616
g8968 = 51287
g9904 = 166
g8085.1 = 16491
g8085.1 = 16491
g8085.1 = 16491
g8085.1 = 16491
g8085.1 = 16491
g4643 = 5515
g4643 = 5515
g4643 = 5515
g4643 = 5515
g4643 = 5515
g4643 = 5515
g4643 = 5515
g4643 = 5515
g4643 = 5515
g4643 = 5515
g4643 = 5515
g4643 = 5515
g7265 = 4672
g7265 = 5524
g7265 = 6468
g7265 = 4672
g7265 = 5524
g7265 = 6468
g7265 = 4672
g7265 = 5524
g7265 = 6468
g4494 = 16491
g7339 = 6644
g7339 = 42577
g7597 = 6807
g7597 = 36361
g8689 = 500
g8689 = 42790
g5358 = 4553
g5358 = 5975
g1637 = 5515
g1637 = 5515
g9281 = 71949
g6794 = 4518
g6794 = 34477
g6794 = 4518
g6794 = 34477
g10384 = 786
g10384 = 3677
g10384 = 786
g10384 = 3677
g10384 = 786
g10384 = 3677
g10384 = 786
g10384 = 3677
g10384 = 786
g10384 = 3677
g10384 = 786
g10384 = 3677
g10384 = 46982
g10384 = 3677
g951 = 4190
g951 = 6508
g951 = 4190
g951 = 6508
g951 = 4190
g951 = 6508
g951 = 4190
g951 = 6508
g951 = 4190
g951 = 6508
g3705 = 3924
g3705 = 5047
g3705 = 5525
g3705 = 5785
g3705 = 6886
g3705 = 5525
g3705 = 6614
g3705 = 5525
g3705 = 6614
g3705 = 5525
g3705 = 6614
g3705 = 5525
g3705 = 6614
g715 = 16788
g715 = 16788
g10294 = 70072
g337 = 8270
g337 = 8270
g337 = 8270
g337 = 8270
g337 = 8270
g337 = 8270
g1629 = 4143
g10109 = 16020
g10109 = 16192
g8887 = 22857
g8887 = 55085
g8887 = 22857
g3107 = 5524
g3107 = 16021
g3107 = 16887
g3107 = 5524
g3107 = 16021
g3107 = 16887
g3107 = 5524
g3107 = 16021
